الترتيب,الرمز,الاسم,القطاع,السعر,التغير_20ساعة_%,RSI14,الدرجة,التصنيف,تجميع_ذكي,سيولة_ذكية,تشبع_بيع_وارتداد,اختراق_فني,بنية_الاتجاه,عقوبة_تصريف,أسباب_الاختيار
1,7040,قو للاتصالات,الاتصالات,91.75,5.6,82.3,90.0,🚀 اختراق صاعد,30.0,20.0,5.0,25.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.20) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 10.6x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.5x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 4.8x المتوسط | 📊 تقاطع MACD صعودي حديث (زخم إيجابي متجدد) | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
2,1111,مجموعة تداول,الخدمات المالية,135.9,12.0,80.1,74.2,✅ زخم صاعد عام,30.0,19.2,5.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.24) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.9x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.7x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
3,1320,أنابيب السعودية,المواد الأساسية,51.8,9.2,81.1,73.8,✅ زخم صاعد عام,28.8,20.0,5.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.18) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 7.8x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.0x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
4,2381,الحفر العربية,الطاقة,93.15,6.8,75.9,73.7,🚀 اختراق صاعد,23.2,19.5,5.0,15.9,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.37) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 6.8x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.7x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 1.5x المتوسط | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
5,2180,فيبكو,المواد الأساسية,36.02,8.2,85.3,71.0,🚀 اختراق صاعد,16.0,20.0,5.0,20.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.42) يدل على تجميع | 💧 حجم أيام الصعود أعلى من النزول بنسبة 6.3x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.9x | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 🚀 اختراق فني: إغلاق فوق أعلى قمة لـ20 جلسة بحجم 6.5x المتوسط | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
6,3004,أسمنت الشمالية,المواد الأساسية,7.12,7.6,78.5,67.0,✅ زخم صاعد عام,30.0,12.0,5.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.41) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.1x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
7,7202,سلوشنز,التطبيقات وخدمات التقنية,212.5,4.3,76.5,63.7,📦 تجميع هادئ,28.7,20.0,0.0,10.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.20) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.9x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.0x | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
8,2140,أيان,الرعاية الصحية,9.85,8.5,71.5,63.2,✅ زخم صاعد عام,30.0,18.2,0.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.29) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 4.2x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.6x | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
9,4325,مسار,إدارة وتطوير العقارات,18.41,1.2,60.3,61.1,📦 تجميع هادئ,22.2,18.9,0.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.29) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 4.0x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ1.7x | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
10,3008,الكثيري,المواد الأساسية,1.27,10.4,61.4,60.0,✅ زخم صاعد عام,30.0,20.0,0.0,5.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.35) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 9.0x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.3x | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
11,2120,متطورة,الخدمات المالية,16.98,4.7,67.4,59.3,📦 تجميع هادئ,25.2,14.1,5.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.26) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 8.0x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
12,2284,المطاحن الحديثة,إنتاج الأغذية,27.58,0.3,50.5,58.0,📦 تجميع هادئ,26.3,11.7,5.0,10.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.13) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 1.5x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
13,4017,فقيه الطبية,الرعاية الصحية,37.74,7.3,76.0,57.5,👀 متابعة,22.5,20.0,0.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.23) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.9x خلال 10 جلسات | 🔊 تسارع نشاط التداول: متوسط 5 أيام أعلى من متوسط 20 يوماً بـ2.2x | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
14,4019,اس ام سي للرعاية الصحية,الرعاية الصحية,16.27,1.6,58.1,57.3,📦 تجميع هادئ,24.8,12.6,5.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.26) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 2.4x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
15,6010,نادك,إنتاج الأغذية,15.11,3.3,73.9,57.2,👀 متابعة,18.0,14.3,5.0,10.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.15) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 4.2x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
16,4349,الإنماء ريت الفندقي,الصناديق العقارية المتداولة,7.85,-0.4,49.5,57.0,📦 تجميع هادئ,30.0,12.0,5.0,10.0,0.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.50) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 62.2x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة
17,4260,بدجت السعودية,النقل,31.92,3.6,65.5,57.0,📦 تجميع هادئ,30.0,12.0,0.0,5.0,10.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.36) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة مع تماسك سعري هادئ (تجميع بصمت) | 💧 حجم أيام الصعود أعلى من النزول بنسبة 4.2x خلال 10 جلسات | 📐 ترتيب صاعد للمتوسطات: السعر > متوسط 50 > متوسط 100 يوم
18,7203,علم,التطبيقات وخدمات التقنية,644.5,6.1,77.5,56.8,👀 متابعة,24.8,12.0,5.0,10.0,5.0,0.0,📦 تدفق نقدي إيجابي مستمر (CMF≈+0.25) يدل على تجميع | 📈 مؤشر OBV في صعود مستمر خلال 20 جلسة | 💧 حجم أيام الصعود أعلى من النزول بنسبة 3.4x خلال 10 جلسات | 🕯️ شمعة انعكاسية صعودية (ذيل سفلي طويل + إغلاق قوي) خلال آخر 3 جلسات | 👀 السهم يقترب من اختراق قمة 20 جلسة | 📐 السعر أعلى من المتوسط المتحرك 50 يوم
